LSOA21CD,LSOA21NM,LSOA21NMW,WD25CD,WD25NM,WD25NMW,LAD25CD,LAD25NM,LAD25NMW,ObjectId
E01020465,Dorset 027A,,E05012728,West Purbeck,,E06000059,Dorset,,8185
E01020492,Dorset 035D,,E05012728,West Purbeck,,E06000059,Dorset,,8191
E01020577,Dorset 043C,,E05012729,Westham,,E06000059,Dorset,,8197
E01020573,Dorset 043B,,E05012729,Westham,,E06000059,Dorset,,8203
E01020572,Dorset 043A,,E05012729,Westham,,E06000059,Dorset,,8237
E01020575,Dorset 041B,,E05012729,Westham,,E06000059,Dorset,,8244
E01020574,Dorset 041A,,E05012729,Westham,,E06000059,Dorset,,8255
E01020428,Dorset 021C,,E05012730,Wimborne Minster,,E06000059,Dorset,,8260
E01020429,Dorset 021D,,E05012730,Wimborne Minster,,E06000059,Dorset,,8265
E01020426,Dorset 021A,,E05012730,Wimborne Minster,,E06000059,Dorset,,8270
E01020427,Dorset 021B,,E05012730,Wimborne Minster,,E06000059,Dorset,,8275
E01020380,Dorset 017C,,E05012730,Wimborne Minster,,E06000059,Dorset,,8280
E01020549,Dorset 036D,,E05012731,Winterborne & Broadmayne,,E06000059,Dorset,,8308
E01020505,Dorset 036A,,E05012731,Winterborne & Broadmayne,,E06000059,Dorset,,8309
E01020452,Dorset 009B,,E05012732,Winterborne North,,E06000059,Dorset,,8310
E01020453,Dorset 009C,,E05012732,Winterborne North,,E06000059,Dorset,,8311
E01020508,Dorset 008B,,E05012733,Yetminster,,E06000059,Dorset,,8312
E01020530,Dorset 019E,,E05012733,Yetminster,,E06000059,Dorset,,8313
E01020550,Dorset 008D,,E05012733,Yetminster,,E06000059,Dorset,,8314
E01020517,Dorset 029B,,E05015779,Bridport,,E06000059,Dorset,,8315
E01020499,Dorset 026B,,E05015779,Bridport,,E06000059,Dorset,,8316
E01020498,Dorset 026A,,E05015779,Bridport,,E06000059,Dorset,,8317
E01020504,Dorset 030C,,E05015779,Bridport,,E06000059,Dorset,,8318
E01020500,Dorset 026C,,E05015779,Bridport,,E06000059,Dorset,,8319
E01020501,Dorset 026D,,E05015779,Bridport,,E06000059,Dorset,,8320
E01020502,Dorset 030A,,E05015779,Bridport,,E06000059,Dorset,,8321
E01020503,Dorset 030B,,E05015779,Bridport,,E06000059,Dorset,,8322
E01020507,Dorset 029A,,E05015780,Chesil Bank,,E06000059,Dorset,,8323
E01020512,Dorset 037A,,E05015780,Chesil Bank,,E06000059,Dorset,,8324
E01020534,Dorset 019F,,E05015781,Eggardon,,E06000059,Dorset,,8326
E01020536,Dorset 029D,,E05015781,Eggardon,,E06000059,Dorset,,8327
E01020531,Dorset 029C,,E05015781,Eggardon,,E06000059,Dorset,,8328
E01020506,Dorset 019D,,E05015782,Marshwood Vale,,E06000059,Dorset,,8332
E01020535,Dorset 023D,,E05015782,Marshwood Vale,,E06000059,Dorset,,8336
E01035116,Sedgemoor 010G,,E05014343,Bridgwater East & Bawdrip,,E06000066,Somerset,,9216
E01029091,Sedgemoor 010B,,E05014343,Bridgwater East & Bawdrip,,E06000066,Somerset,,9222
E01035114,Sedgemoor 010E,,E05014343,Bridgwater East & Bawdrip,,E06000066,Somerset,,9268
E01029138,Sedgemoor 012C,,E05014343,Bridgwater East & Bawdrip,,E06000066,Somerset,,9274
E01029109,Sedgemoor 008E,,E05014344,Bridgwater North & Central,,E06000066,Somerset,,9284
E01029094,Sedgemoor 009A,,E05014344,Bridgwater North & Central,,E06000066,Somerset,,9290
E01029096,Sedgemoor 008B,,E05014344,Bridgwater North & Central,,E06000066,Somerset,,9296
E01029095,Sedgemoor 009B,,E05014344,Bridgwater North & Central,,E06000066,Somerset,,9302
E01029107,Sedgemoor 008D,,E05014344,Bridgwater North & Central,,E06000066,Somerset,,9308
E01029106,Sedgemoor 008C,,E05014344,Bridgwater North & Central,,E06000066,Somerset,,9352
E01029097,Sedgemoor 013A,,E05014345,Bridgwater South,,E06000066,Somerset,,9353
E01029101,Sedgemoor 014A,,E05014345,Bridgwater South,,E06000066,Somerset,,9354
E01029098,Sedgemoor 013B,,E05014345,Bridgwater South,,E06000066,Somerset,,9355
E01029102,Sedgemoor 011A,,E05014345,Bridgwater South,,E06000066,Somerset,,9356
E01029100,Sedgemoor 013D,,E05014345,Bridgwater South,,E06000066,Somerset,,9358
E01029099,Sedgemoor 013C,,E05014345,Bridgwater South,,E06000066,Somerset,,9359
E01029105,Sedgemoor 013E,,E05014345,Bridgwater South,,E06000066,Somerset,,9363
E01029112,Sedgemoor 009E,,E05014345,Bridgwater South,,E06000066,Somerset,,9366
E01029110,Sedgemoor 009C,,E05014346,Bridgwater West,,E06000066,Somerset,,9371
E01029103,Sedgemoor 011B,,E05014346,Bridgwater West,,E06000066,Somerset,,9376
E01029111,Sedgemoor 009D,,E05014346,Bridgwater West,,E06000066,Somerset,,9382
E01029104,Sedgemoor 011C,,E05014346,Bridgwater West,,E06000066,Somerset,,9387
E01032631,Sedgemoor 011E,,E05014346,Bridgwater West,,E06000066,Somerset,,9392
E01032632,Sedgemoor 011F,,E05014346,Bridgwater West,,E06000066,Somerset,,9397
E01029159,South Somerset 018A,,E05014347,Brympton,,E06000066,Somerset,,9402
E01035124,South Somerset 012F,,E05014347,Brympton,,E06000066,Somerset,,9408
E01029162,South Somerset 013B,,E05014347,Brympton,,E06000066,Somerset,,9414
E01035123,South Somerset 012E,,E05014347,Brympton,,E06000066,Somerset,,9421
E01029302,Somerset West and Taunton 016D,,E05014339,Bishop's Hull & Taunton West,,E06000066,Somerset,,9424
E01029257,Somerset West and Taunton 012B,,E05014339,Bishop's Hull & Taunton West,,E06000066,Somerset,,9427
E01029161,South Somerset 013A,,E05014347,Brympton,,E06000066,Somerset,,9429
E01029256,Somerset West and Taunton 012A,,E05014339,Bishop's Hull & Taunton West,,E06000066,Somerset,,9433
E01029113,Sedgemoor 002D,,E05014348,Burnham on Sea North,,E06000066,Somerset,,9435
